budget,popularity,revenue,runtime,vote_average,vote_count,crew_count,cast_count,release_year,release_month,profit,original_language_Other,original_language_de,original_language_en,original_language_es,original_language_fr,original_language_hi,original_language_it,original_language_ja,original_language_zh,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Australia,Canada,China,France,Germany,Italy,Japan,Other,Spain,United Kingdom,United States of America,cast_freq_sum,cast_freq_mean,director_freq,success
1.5574613691189263,0.29481011470059276,20.544494644941985,2.041321395930169,-0.17825119157335018,1.0082071846468632,55,37,2009,6,18.98703327582306,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,361,9.756756756756756,12.0,1
1.8369296841919953,1.3182087036253944,20.810731783770184,2.766775095991005,-0.3842187342976571,1.0027632333199519,86,41,2014,6,18.973802099578187,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,327,7.975609756097561,12.0,1
1.7964053749053166,0.7563538501041593,20.013722061929226,1.0740497958490545,-0.4872025056598101,1.0546519046457932,31,159,2013,3,18.21731668702391,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,387,2.4339622641509435,11.0,1
1.7964053749053166,1.1515327819661458,20.374725478797583,1.6544127558977233,0.3366676652374167,1.1212463482512502,102,65,2014,4,18.578320103892267,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,376,5.7846153846153845,3.0,1
1.6614198204927573,1.0339278405992216,19.80713200276317,0.8322318958287758,0.13070012251310978,0.9689774521716277,27,23,2010,12,18.14571218227041,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,149,6.478260869565218,2.0,1
1.7964053749053166,0.794292013061977,20.14318373016529,-0.0866761242482831,-0.3842187342976571,0.836955447721114,40,47,2011,6,18.346778355259975,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,438,9.319148936170214,4.0,1
1.7964053749053166,0.8170099821207872,19.208461389032852,0.30023251578416277,-1.105105133832731,0.9164735953308419,47,23,2011,6,17.412056014127536,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,230,10.0,8.0,1
1.7964053749053166,0.9063813035441339,20.78808841523593,-0.2317668642604503,1.4694891502211034,1.1588633903848191,38,45,2010,6,18.991683040330614,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,465,10.333333333333334,1.0,1
1.7964053749053166,1.0175604566155045,19.732663656064677,0.3485960957882185,-0.28123496293550315,0.9126479090244681,55,15,2009,5,17.93625828115936,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,172,11.466666666666667,6.0,1
1.7538020067683546,1.2359860893293608,21.132888530970785,1.4125948558774446,1.1605378361346435,1.1209629832418018,98,52,2015,4,19.37908652420243,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,308,5.923076923076923,7.0,1
1.7964053749053166,1.097776617044339,20.091900257585234,0.3969596757922742,0.5426352079617236,1.2339144070719452,31,22,2013,6,18.295494882679918,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,138,6.2727272727272725,8.0,1
1.9817447449674186,1.3247465081836327,20.432730064563454,1.12241337585311,1.3665053788589505,1.266067603462461,86,65,2014,5,18.450985319596036,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,411,6.323076923076923,8.0,1
1.7538020067683546,1.0704327931511848,19.96262162343216,1.170776955857166,1.2635216074967974,1.143191428383033,107,98,2013,5,18.208819616663806,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,434,4.428571428571429,4.0,1
1.7753768192836437,0.7070818297959756,19.102198585112838,0.30023251578416277,-0.693170048384117,0.933700431841816,43,23,2013,2,17.326821765829195,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,221,9.608695652173912,8.0,1
1.261213017759833,0.9185717388173782,19.676411931495274,1.702776335901779,1.1605378361346435,1.0805010449821117,18,31,2013,5,18.41519891373544,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,136,4.387096774193548,4.0,1
1.5574613691189263,0.9282873923117196,19.630102607154413,0.3969596757922742,0.027716351150956758,0.8885403281895264,46,13,2010,5,18.072641238035487,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,9.76923076923077,7.0,1
1.7088946605199926,0.869728034463915,19.82580399127956,1.12241337585311,0.5426352079617236,1.1754211260078458,27,43,2013,7,18.11690933075957,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,200,4.651162790697675,5.0,1
1.7753768192836437,0.452732865773872,20.839934471443975,2.234775715946392,-0.07526742021119716,1.0279483748070601,29,39,2011,6,19.06455765216033,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,443,11.35897435897436,12.0,1
1.7316517986106692,1.049447664904886,20.48327622672714,0.6871411558166086,-0.4872025056598101,0.917740627602645,14,38,2008,5,18.751624428116468,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266,7.0,27.0,1
